codigo;identificador;link;descripcion
vid177;316;MR-1QlsJNKY;El cajón de las vocales: cantando aprendo a hablar con lengua de señas
vid178;316;KTsIbG8QnVk;Acciones básicas en la escuela con pictogramas 1
vid179;316;NYjuwTUb6dI;Acciones básicas en la escuela con pictogramas 2
vid180;316;74iqSi5Sets;Oraciones básicas en la escuela con pictogramas
vid181;316;G707aMh_qT4;Acciones básicas en el instituto con pictogramas
vid182;336;LIubnCxoXVI;Actividades para ensartar e hilar
vid183;336;GtNYd4TOZVo;Truco para meter los abalorios en el hilo
vid184;338;ZMyGQONQpAs;Facilitar el giro del pomo con una botella de plástico
vid185;340;2QKcq79CEaU;Cómo abrir un grifo
vid186;340;uAEz6uOtvjI;Cómo abrir y cerrar un grifo monomando
vid187;342;ZJsPjaohv1E;Ejercicios para facilitar el abrir y cerrar las tijeras
vid188;342;sI6sfqp575g;Enseñar a recortar
vid189;342;sI6sfqp575g;Enseñar a recortar
vid190;342;5zwLeb_Hv2U;Cómo hacer unas tijeras adaptadas con agarre múltiple
vid191;344;hZhLNq2rH-c;Juegos de bloques para niños
vid192;344;2vGlJ8J7lwc;Noa y papa jugando a los bloques
vid193;346;5PR-Bz1b0mE;Manualidades: separadores para libros
vid194;348;Nytxe7iiE_U;Puertas adaptadas para personas con discapacidad
vid195;348;Dl8UCk34gFE;Acceso a vivienda adaptado a personas con discapacidad
vid196;350;nc5okMs_ss0;¿Cuántas veces puedes doblar una hoja de papel?
vid197;352;grFK-PqOKp8;Construir una jirafa con bloques
vid198;352;xERhf6nhyD4;Construir un robot con bloques
vid199;352;rv3SMcTw9jM;Construir los números con bloques
vid200;352;WFpUu4DB0D8;Contando hasta 10 con bloques
vid201;354;kv_L0nMMHGo;Cómo hacer una bola de plastilina
vid202;354;rQ7avPZpDhc;Esferas de plastilina
vid203;356;AwTKyJ8HTW4;Aprender a caminar de nuevo
vid204;356;lWjGWTYTo7M;Ejercicio de motricidad gruesa
vid205;358;4l-SDhN7TVw;Circuito de psicomotricidad
vid206;360;vjVNmDXastw;Estimulación para subir escaleras
vid207;362;ztVH-OP7XPY;Aprendiendo a caminar hacia atrás
vid208;364;T-mjCqED1ug;Caminar de puntillas y talones para recuperar lesiones y fracturas
vid209;366;BFLqqU3oCDA;Hemiparesia infantil: andar a la pata coja
vid210;368;quxrGQ1fhv4;Actividades sencillas con pelotas
vid211;368;LQKCrLRKbFQ;Juego  de equilibrio con pelota
vid212;368;iUudejMapqY;5 ejercicios fáciles con pelota
vid213;368;-7a9iPIfXIg;Ejercicios de coordinación con pelota
vid214;372;nHWUSxlaasg;Reglas del juego de la rayuela
vid215;372;FhTnNJRWME4;Hemiparesia. Equilibrio sobre un pie
vid216;372;uGS7PzNij2c;Mejora el equilibrio: mantenerse sobre un pie
vid217;372;gORn1E8ez9w;Juegos de equilibrio (en concreto el primer juego)
vid218;374;71hiB8Z-03k;Cabeza, hombros, rodillas y pies - Canción de ejercicios para niños
vid219;374;eJVAL7l93Bg;Estimulación temprana. Enseñar partes del cuerpo
vid220;378;xlEFoKf-wao;Antes, durante, después y ahora
vid221;380;jo-gQ9AlGKU;Agrupación por colores y formas
vid222;380;dC9loLVjS3s;Discriminación visual
vid223;380;XIGMZ_tl93g;Ejercicios para mejorar el agarre en pinza
vid224;380;41NDPiFU4P4;Ejercicio de discriminación visual, coordinación mano ojo y motricidad fina
vid225;382;87qohLgDlcM;Aprende a contar con los dedos
vid226;382;K9sd8kAJbbY;Canción de jugar con los dedos
vid227;386;7oZEo0aAb2U;El cuerpo humano
vid228;386;kkbNisVSVZA;Voy a dibujar mi cuerpo
vid229;388;Dmf73H3Ty2s;Para qué sirve: objetos de verano
vid230;408;Uju3Fdc9VOo;Fabricar un juguete para enroscar y desenroscar
vid231;408;N9JsJ-AL6DA;Productos de apoyo que ayudan a una alimentación autónoma
vid232;408;a6rD_y69G5g;Ejercicios con tuercas y tornillos
vid233;410;3xpr9PM7Mok;Ejercicio Parkinson: Oposición pulgar-dedos
vid234;410;_LWgC7UVdvc;Ejercicio de oposición del pulgar
vid235;410;w3hN02tFBY0;Ejercicio de oposición del pulgar con resistencia
vid236;410;JQ24Ve9ne2U;Ejercicio de apertura de la mano y oposición del pulgar
vid237;412;ZOF9FUYxxG4;Juego para enseñar a abrochar y desabrochar botones
vid238;412;a685NL3k2PE;Ayuda para vestirse: pasabotones
vid239;412;udkMEaKn8Q4;Cómo fabricar un abotonador casero
vid240;414;4SMxpE6tqxE;Ejercicio sencillo de trasvase
vid241;414;XIGMZ_tl93g;Ejercicios para mejorar el agarre en pinza
vid242;414;A5Ipd0kADX4;Juego con bolitas de colores
vid243;416;DPA-7BQgAR8;Canción para imitar movimientos de manos
vid244;416;xGJHoQT7VWg;Canción para imitar movimientos de brazos
vid245;416;6jNwZ__oeU4;Canción para imitar movimientos del cuerpo 1
vid246;416;r3QGPg7P0Jk;Canción para imitar movimientos del cuerpo 2
vid247;420;Kzh40cHmSc4;Tortuga en plastilina
vid248;420;J5199WQlctc;Automóvil en plastilina
vid249;420;eEai0r_kl6Q;Pollito en plastilina
vid250;420;uhpVQboa7Kk;Gusano en plastilina
vid251;420;mEsBBwULGKs;Árbol de Navidad en plastilina
vid252;422;UOftq2khV1I;Caminando hacia atrás talón-dedo
vid253;422;3qFPcV6bbu0;Caminando hacia atrás
vid254;422;AEdd-qTtUp0;Rehabilitación de hernia de disco: caminando hacia atrás
vid255;424;T-mjCqED1ug;Caminar de puntillas y talones para recuperar lesiones y fracturas
vid256;426;BFLqqU3oCDA;Hemiparesia: Andar a la pata coja
vid257;426;dAtLwqC670Q;Saltos con una pierna
vid258;426;nHWUSxlaasg;Reglas del juego de la rayuela
vid259;428;vjVNmDXastw;Estimulación para subir escaleras
vid260;428;2NqmG3QToVo;Subir y bajar escaleras
vid261;430;ZHUHMHOeLCo;Variantes del juego del huevo y la cuchara
vid262;430;RYqoD_iaBW8;Transporte de objetos domésticos. Coordinación óculo-manual
vid263;430;FJlRtd9olSA;Transporte y equilibrio de elementos 
vid264;430;mpNNAD6NBgY;Transporte de objetos con partes del cuerpo
vid265;430;x56acWo_EMM;Equilibrio dinámico y objetos
vid266;432;DsRKoZGaoEM;Canción: ¡Colores, colores!
vid267;432;hnaB2EEZckY;Aprendemos los animales y sus colores
vid268;432;k18-j4phS0Y;Cuento: Lola con alas, adaptado
vid269;434;TVzRz-wjuY0;Ser niño, ser niña
vid270;436;8fpEHLGlCag;Sonidos de la casa: ¿dónde los encontramos?
vid271;438;SNExMaIbD4Y;¿Cuál no tiene pareja?
vid272;440;MroEbCa1uR4;La casita de las puertas y sus llaves
vid273;441;kQ_6AghrZrw;La ropa de José
vid274;441;TQe16zTdgsE;Mateo se viste solo. Cuento
vid275;441;emP4_zS1e7o;Aprendiendo a ponerse los zapatos correctamente
vid276;441;a685NL3k2PE;Ayudas para vestirse
vid277;441;V_5t2XTM2RQ;Vestido y desvestido de personas con hemiplejia y otras discapacidades neurológicas
vid278;441;kPmMoctaKTk;Prendas adaptadas que facilitan el vestido y desvestido
vid279;460;MroEbCa1uR4;La casita de las puertas y sus llaves
vid280;462;Uju3Fdc9VOo;Fabricar un juguete para enroscar y desenroscar
vid281;462;a6rD_y69G5g;Ejercicios con tuercas y tornillos
vid282;464;mUk_5HrBmQg;Motivando para recortar
vid283;464;ViaxDt9L8ls;Aprendiendo a usar las tijeras
vid284;464;y_xXedCbCQw;5 actividades fáciles para aprender a recortar
vid285;466;WJmqm6KryvM;Nudo para hacer una alfombra
vid286;466;fkBUDmDwQXo;Alfombra de trapillo en una rejilla
vid287;468;NTVwxlMg6Dg;Aprendiendo a coger el lápiz
vid288;468;IBljk9uDyOQ;Pelota para mejorar agarre lápiz
vid289;470;DPA-7BQgAR8;Canciones para jugar con las manos
vid290;470;APpgPZrraJA;Juego musical: dedos cruzados
vid291;470;1PZJMP0SzaU;Canción: Soy una taza
vid292;470;bVv7QuykJfY;Cómo estimular la imitación
vid293;472;t9_iSPPK7O8;Motricidad fina: técnica del embolillado
vid294;472;tUNs4dnBGYs;Cómo hacer una tarjeta con bolas de papel seda
vid295;472;RSZwS_HsPjo;Coordinación viso_manual: arrugando papel con una mano
vid296;474;2Mq1Dz8wEqU;Blog que explica cómo hacer un rompecabezas en papel
vid297;474;_YZMXc7pwD4;Cómo armar un rompecabezas
vid298;474;ZdaAcdZdFuY;No siempre hay que empezar por los bordes del puzzle
vid299;475;qZFey-HsTXo;Jugando con bloques
vid300;475;dej8dAK_EcA;Ejercicio de razonamiento espacial
vid301;475;74TEUTN5UEs;Ejercicios de imaginacion espacial
vid302;478;zlpArW3fA5Y;Dibujo una casita
vid303;480;wghBFiE-Et0;El juego de la gallinita ciega
vid304;482;T-mjCqED1ug;Caminar de puntillas y talones para recuperar lesiones y fracturas
vid305;482;T-mjCqED1ug;Caminar de talones y puntillas
vid306;482;FRQPu-534wo;Caminando de talón
vid307;482;l0jUgpZRid0;Caminar talón-planta-punta
vid308;484;#¿NOMBRE?;Equilibrio dinámico con transporte de agua
vid309;488;FFwA_WMkmEU;Los días de la semana
vid310;488;roLOfvpkAcY;Los días de la semana: más que el nombre
vid311;492;3xhBPbIT5Qw;Aprendemos a buscar diferencias: Otoño
vid312;492;f1nsjalhyE4;Aprendemos a buscar diferencias: Navidad
vid313;492;cfTo_cQ5fyA;Aprendemos a buscar diferencias: Halloween
vid314;492;Pfbup5hu7FU;Buscamos las diferencias con Paty y Poty
vid315;492;g4t2N7SGt84;¿Cuál es diferente? El invierno
vid316;492;i793-7ug65Q;¿Cuál es diferente? La clase
vid317;492;3M2uUpVYGSg;¿Cuál es diferente? El verano
vid318;492;Wqc84zDH6uI;¿Cuál es diferente? La primavera
vid319;493;5xaIs5MmgsY;Marco casero para aprender a atarse los cordones de los zapatos
vid320;493;f0TO4UdQR_0;Aprender a atarse los cordones de los zapatos. Vídeo para niños
vid321;493;219c8FfKCx0;Un lío de cordones
vid322;493;tRM9onfyMq4;Atarse los cordones de los zapatos con una mano
vid323;493;uhIB_r8ffmc;Fabricación de ayuda para atarse los cordones de los zapatos con una mano
vid324;494;aVbncGIqnJw;10 ideas para ayudarte a estudiar
vid325;495;a6rD_y69G5g;Ejercicios con tuercas y tornillos
vid326;495;I_lKPXJ05Wg;¿Qué es un cuadro comparativo?
vid327;497;cFr7e3RsjPY;Resuelve los problemas y toma decisiones
vid328;497;eO7sNmZ9Ut8;Cómo hacer un árbol de problemas
vid329;498;G0wiTNP2yG4;El bastón de movilidad o bastón blanco
vid330;498;JpZg6Mp0Rds;Técnica de Contacto Constante con el bastón de movilidad
vid331;498;hqO5vVfYrHY;Técnica de los dos puntos con el bastón de movilidad
vid332;498;fkhxDuzVCPs;Subir y bajar escaleras con el bastón de movilidad
vid333;498;rj6tbAUdHs8;Protección personal para personas con discapacidad visual
vid334;498;26xWnsL2jB4;Cómo hacer un bastón para invidentes usando tubos de PVC
vid335;498;3rttGFYCfAw;Aprende a manejar la silla de ruedas
vid336;498;OTO5tQ9TJTU;Transferencia desde la silla de ruedas al coche
vid337;501;15-Xxiv0Odk;Canción de Arriba y Abajo
vid338;501;bBkCRNFp6QI;Arriba y Abajo
vid339;501;R-jjurxsnfg;Cerca y Lejos
vid340;501;55XyGSo9ibc;Cerca y Lejos
vid341;501;h5X5c7P6HTk;Delante y Detrás
vid342;501;6K4APNSPCsA;Encima y Debajo
vid343;501;KW3WIQ3_0WI;Orientación espacial
vid344;501;SyVx9kJdIwk;Izquierda y derecha/autismo
vid345;501;WciEese8lAo;Conceptos espaciales para niños
vid346;501;KAVQtWeZ0t4;Posiciones. ¿Dónde está el gato?
vid347;502;cbgM9BYWT9E;Repite las palabras
vid348;502;jBFmZC2l_bk;Repetimos palabras con R
vid349;502;aIrALBZu8mI;Repite las palabras. Sinfones con L
vid350;502;E2tdB3kvNZ8;Repite las palabras. Sinfones con R
vid351;502;nOR2eFHDklw;Adivina los sonidos
vid352;502;EHmZvu2yAZk;Adivina los sonidos
vid353;502;K9GLvX9rA_0;Canción para estimular memoria: sal de ahí chivita chivita
vid354;502;-3ka09heHGI;Canción para estimular la memoria: la rana cantaba debajo del agua
vid355;502;yxPimSBPumw;Atención y discriminación auditiva
vid356;502;eRP2FRjySjo;Memoria auditiva
vid357;504;ipsAl9LKa7Y;Juego para ejercitar la atención y memoria
vid358;504;5SdNunjRz2s;¿Qué ha cambiado? La primavera
vid359;504;vqDvqbBU48E;¿Qué falta? El verano
vid360;504;0joEf_1Yid0;¿Qué falta? El invierno
vid361;504;ALbAK9f3J5I;¿Qué animal falta?
vid362;506;wLB_xo9O2ls;Explicación de cómo, a través del movimiento, las personas pueden aprender y activar su memoria quinestésica
vid363;508;GNGQXvrT53M;Atención infantil: absurdos visuales
vid364;510;K9GLvX9rA_0;Canción para estimular la memoria: sal de ahí chivita chivita
vid365;510;-3ka09heHGI;Canción para estimular la memoria: la rana cantaba debajo del agua
vid366;512;gPCIeqeCTuk;Trucos para mejorar la memoria a largo plazo
vid367;534;IrZ_QUh3C4U;La historia de los niños manitas sucias
vid368;534;8OTblBTTmrs;Las manos de José
vid369;534;flSL2LvfUm0;Cómo lavarse las manos
vid370;534;yn7Tsnnc9Qs;Cómo lavarse bien las manos
vid371;538;okKiWXi7Hsg;La canción del baño
vid372;542;Mv4a9UOcQnQ;Colegio Oficial de Fisioterapeutas del País Vasco. España
